product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
Blayney City Council - Planning Certificate S.10.7(2) & S.10.7(5) Urgent,NSWBLAYN0013,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) Urgent from Blayney City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product. This is the urgent service option.",Blayney,Blayney City Council,9dc85fdd-b8b7-436e-a62e-f79a1a10b522,386.00,,no_gst,0.00,Manual,active,,
Blue Mountains City Council - Rates Certificate S.603,NSWBLUEM0001,NSW,LGA,true,"Order the Rates Certificate S.603 from Blue Mountains City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Blue Mountains,Blue Mountains City Council,b774c525-556b-4314-aa77-c6d4857f2dc9,100.00,,no_gst,0.00,Manual,active,,
Blue Mountains City Council - Outstanding Notices S.735A & 121ZP Commercial,NSWBLUEM0003,NSW,LGA,true,Order the Outstanding Notices S.735A & 121ZP Commercial from Blue Mountains City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Blue Mountains,Blue Mountains City Council,b774c525-556b-4314-aa77-c6d4857f2dc9,140.00,,no_gst,0.00,Manual,active,,
Blue Mountains City Council - Outstanding Notices S.735A & 121ZP Residential,NSWBLUEM0004,NSW,LGA,true,Order the Outstanding Notices S.735A & 121ZP Residential from Blue Mountains City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Blue Mountains,Blue Mountains City Council,b774c525-556b-4314-aa77-c6d4857f2dc9,80.00,,no_gst,0.00,Manual,active,,
Blue Mountains City Council - Planning Certificate S.10.7(2),NSWBLUEM0005,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Blue Mountains City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Blue Mountains,Blue Mountains City Council,b774c525-556b-4314-aa77-c6d4857f2dc9,71.00,,no_gst,0.00,Manual,active,,
Blue Mountains City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWBLUEM0007,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Blue Mountains City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Blue Mountains,Blue Mountains City Council,b774c525-556b-4314-aa77-c6d4857f2dc9,178.00,,no_gst,0.00,Manual,active,,
Blue Mountains City Council - Section 88G with inspection,NSWBLUEM0009,NSW,LGA,true,"Order the Section 88G with inspection from Blue Mountains City Council. This product supplies the certificate, search, diagram, plan, report or property information stated in the product name.",Blue Mountains,Blue Mountains City Council,b774c525-556b-4314-aa77-c6d4857f2dc9,83.00,,no_gst,0.00,Manual,active,,
Blue Mountains City Council - Rates Certificate S.603 - URGENT,NSWBLUEM0011,NSW,LGA,true,"Order the Rates Certificate S.603 - URGENT from Blue Mountains City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Blue Mountains,Blue Mountains City Council,b774c525-556b-4314-aa77-c6d4857f2dc9,170.00,,no_gst,0.00,Manual,active,,
Body Corporate NSW - GlobalX NSW Strata Title Inspection of Records Report - 4 Year,NSWCSTR,NSW,BodyCorp,true,"Order the GlobalX NSW Strata Title Inspection of Records Report - 4 Year from Body Corporate NSW. This service supplies the strata, body-corporate, community-association or company-title certificate, records search or report stated in the product name.",ALL,Body Corporate NSW,b60003cc-de82-4d5e-a414-380abe38ba99,343.02,,normal_gst_10,34.30,Manual,active,,
Body Corporate NSW - GlobalX NSW Strata / Company Inspection of Records Report - Urgency Fee,NSWSRCTI,NSW,BodyCorp,true,"Order the GlobalX NSW Strata / Company Inspection of Records Report - Urgency Fee from Body Corporate NSW. This service supplies the strata, body-corporate, community-association or company-title certificate, records search or report stated in the product name.",ALL,Body Corporate NSW,b60003cc-de82-4d5e-a414-380abe38ba99,80.00,,normal_gst_10,8.00,Manual,active,,
Body Corporate NSW - GlobalX NSW Company Title Inspection of Records Report - 2 Year,NSWSRCTR,NSW,BodyCorp,true,"Order the GlobalX NSW Company Title Inspection of Records Report - 2 Year from Body Corporate NSW. This service supplies the strata, body-corporate, community-association or company-title certificate, records search or report stated in the product name.",ALL,Body Corporate NSW,b60003cc-de82-4d5e-a414-380abe38ba99,244.00,,normal_gst_10,24.40,Manual,active,,
Body Corporate NSW - GlobalX NSW Strata Title Inspection of Records Report - 2 Year,NSWSRINS,NSW,BodyCorp,true,"Order the GlobalX NSW Strata Title Inspection of Records Report - 2 Year from Body Corporate NSW. This service supplies the strata, body-corporate, community-association or company-title certificate, records search or report stated in the product name.",ALL,Body Corporate NSW,b60003cc-de82-4d5e-a414-380abe38ba99,244.88,,normal_gst_10,24.49,Manual,active,,
Body Corporate NSW - NSW Section 184 Certificate,NSWSS184,NSW,BodyCorp,true,"Order the NSW Section 184 Certificate from Body Corporate NSW. This service supplies the strata, body-corporate, community-association or company-title certificate, records search or report stated in the product name.",ALL,Body Corporate NSW,b60003cc-de82-4d5e-a414-380abe38ba99,154.00,,normal_gst_10,15.40,Manual,active,,
"Body Corporate NSW - NSW Section 184 Certificate inc. Carpark, Garage & Storage Facility",NSWSS184CG,NSW,BodyCorp,true,"Order the NSW Section 184 Certificate inc. Carpark, Garage & Storage Facility from Body Corporate NSW. This service supplies the strata, body-corporate, community-association or company-title certificate, records search or report stated in the product name.",ALL,Body Corporate NSW,b60003cc-de82-4d5e-a414-380abe38ba99,156.00,,normal_gst_10,15.60,Manual,active,,
Bogan City Council - Planning Certificate S.10.7(2),NSWBOGAN0001,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Bogan City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,66.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Planning Certificate S.10.7(2) URGENT,NSWBOGAN0002,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) URGENT from Bogan City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints. This is the urgent service option.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,166.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWBOGAN0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Bogan City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,160.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Planning Certificate S.10.7(2) & S.10.7(5) URGENT,NSWBOGAN0004,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) URGENT from Bogan City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product. This is the urgent service option.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,260.00,,no_gst,0.00,Manual,active,,
Bogan City Council - House Drainage Plan,NSWBOGAN0005,NSW,LGA,true,"Order the House Drainage Plan from Bogan City Council. This product supplies the stated drainage, sewer or water diagram or plan held for the property, including internal services or authority assets as applicable.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,35.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Outstanding Notices S.735A,NSWBOGAN0006,NSW,LGA,true,Order the Outstanding Notices S.735A from Bogan City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,85.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Outstanding Notcies S.121ZP,NSWBOGAN0007,NSW,LGA,true,Order the Outstanding Notcies S.121ZP from Bogan City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,85.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Rates Certificate S.603,NSWBOGAN0008,NSW,LGA,true,"Order the Rates Certificate S.603 from Bogan City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,100.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Rates Certificate S.603 URGENT,NSWBOGAN0009,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Bogan City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,200.00,,no_gst,0.00,Manual,active,,
Bogan City Council - Special Water Meter Reading,NSWBOGAN0010,NSW,LGA,true,"Order the Special Water Meter Reading from Bogan City Council. This service requests the stated water-meter reading for the property, commonly used for settlement or account purposes.",Bogan,Bogan City Council,8cd40e20-b91a-4071-9322-48476dfc909b,35.00,,no_gst,0.00,Manual,active,,
Bourke City Council - Planning Certificate S.10.7(2),NSWBOURK0001,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Bourke City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Bourke,Bourke City Council,2ed9e64f-3caf-4f4b-8bd4-295a2113ccee,71.00,,no_gst,0.00,Manual,active,,
Bourke City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWBOURK0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Bourke City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Bourke,Bourke City Council,2ed9e64f-3caf-4f4b-8bd4-295a2113ccee,178.00,,no_gst,0.00,Manual,active,,
Bourke City Council - Outstanding Notices S.735A,NSWBOURK0006,NSW,LGA,true,Order the Outstanding Notices S.735A from Bourke City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Bourke,Bourke City Council,2ed9e64f-3caf-4f4b-8bd4-295a2113ccee,62.00,,no_gst,0.00,Manual,active,,
Bourke City Council - Outstanding Notcies S.121ZP,NSWBOURK0007,NSW,LGA,true,Order the Outstanding Notcies S.121ZP from Bourke City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Bourke,Bourke City Council,2ed9e64f-3caf-4f4b-8bd4-295a2113ccee,62.00,,no_gst,0.00,Manual,active,,
Bourke City Council - Rates Certificate S.603,NSWBOURK0008,NSW,LGA,true,"Order the Rates Certificate S.603 from Bourke City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Bourke,Bourke City Council,2ed9e64f-3caf-4f4b-8bd4-295a2113ccee,100.00,,no_gst,0.00,Manual,active,,
Bourke City Council - Rates Certificate S.603 URGENT,NSWBOURK0009,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Bourke City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Bourke,Bourke City Council,2ed9e64f-3caf-4f4b-8bd4-295a2113ccee,260.00,,no_gst,0.00,Manual,active,,
Bourke City Council - Special Water Meter Reading,NSWBOURK0010,NSW,LGA,true,"Order the Special Water Meter Reading from Bourke City Council. This service requests the stated water-meter reading for the property, commonly used for settlement or account purposes.",Bourke,Bourke City Council,2ed9e64f-3caf-4f4b-8bd4-295a2113ccee,46.00,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Planning Certificate S.10.7(2),NSWBREWA0001,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Brewarrina City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,62.00,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWBREWA0002,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Brewarrina City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,94.00,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Sewer Diagram,NSWBREWA0003,NSW,LGA,true,"Order the Sewer Diagram from Brewarrina City Council. This product supplies the stated drainage, sewer or water diagram or plan held for the property, including internal services or authority assets as applicable.",Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,64.00,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Rates Certificate S.603,NSWBREWA0005,NSW,LGA,true,"Order the Rates Certificate S.603 from Brewarrina City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,100.00,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Rates Certificate S.603  URGENT,NSWBREWA0006,NSW,LGA,true,"Order the Rates Certificate S.603  URGENT from Brewarrina City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,255.00,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Special Water Meter Reading,NSWBREWA0007,NSW,LGA,true,"Order the Special Water Meter Reading from Brewarrina City Council. This service requests the stated water-meter reading for the property, commonly used for settlement or account purposes.",Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,59.40,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Outstanding Notices S.735A,NSWBREWA0008,NSW,LGA,true,Order the Outstanding Notices S.735A from Brewarrina City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,80.00,,no_gst,0.00,Manual,active,,
Brewarrina City Council - Outstanding Notcies S.121ZP,NSWBREWA0010,NSW,LGA,true,Order the Outstanding Notcies S.121ZP from Brewarrina City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Brewarrina,Brewarrina City Council,38bf1102-6d62-4842-8a1c-42627c1b2f68,80.00,,no_gst,0.00,Manual,active,,
Broken Hill City Council - Planning Certificate S.10.7(2),NSWBROKE0001,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Broken Hill City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,71.00,,no_gst,0.00,Manual,active,,
Broken Hill City Council - Planning Certificate S.10.7(2) URGENT,NSWBROKE0002,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) URGENT from Broken Hill City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints. This is the urgent service option.",Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,158.27,,normal_gst_10,15.83,Manual,active,,
Broken Hill City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWBROKE0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Broken Hill City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,178.00,,no_gst,0.00,Manual,active,,
Broken Hill City Council - Planning Certificate S.10.7(2) & S.10.7(5) URGENT,NSWBROKE0004,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) URGENT from Broken Hill City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product. This is the urgent service option.",Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,265.27,,normal_gst_10,26.53,Manual,active,,
Broken Hill City Council - Outstanding Notices S.735A,NSWBROKE0005,NSW,LGA,true,Order the Outstanding Notices S.735A from Broken Hill City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,85.00,,no_gst,0.00,Manual,active,,
Broken Hill City Council - Outstanding Notcies S.121ZP,NSWBROKE0006,NSW,LGA,true,Order the Outstanding Notcies S.121ZP from Broken Hill City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,85.00,,no_gst,0.00,Manual,active,,
Broken Hill City Council - Rates Certificate S.603,NSWBROKE0007,NSW,LGA,true,"Order the Rates Certificate S.603 from Broken Hill City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,100.00,,no_gst,0.00,Manual,active,,
Broken Hill City Council - Rates Certificate S.603 URGENT,NSWBROKE0008,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Broken Hill City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Broken Hill,Broken Hill City Council,7802cab1-980e-4a39-a530-501198948ed8,159.09,,no_gst,0.00,Manual,active,,
Burwood City Council - Rates Certificate S.603,NSWBURWO0001,NSW,LGA,true,"Order the Rates Certificate S.603 from Burwood City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,100.00,,no_gst,0.00,Manual,active,,
Burwood City Council - Rates Certificate S.603 URGENT,NSWBURWO0002,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Burwood City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,326.00,,no_gst,0.00,Manual,active,,
Burwood City Council - Planning Certificate S.10.7(2),NSWBURWO0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Burwood City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,71.00,,no_gst,0.00,Manual,active,,
Burwood City Council - Planning Certificate S.10.7(2) URGENT,NSWBURWO0004,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) URGENT from Burwood City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints. This is the urgent service option.",Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,241.00,,no_gst,0.00,Manual,active,,
Burwood City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWBURWO0005,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Burwood City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,178.00,,no_gst,0.00,Manual,active,,
Burwood City Council - Planning Certificate S.10.7(2) & S.10.7(5) URGENT,NSWBURWO0006,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) URGENT from Burwood City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product. This is the urgent service option.",Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,348.00,,no_gst,0.00,Manual,active,,
Burwood City Council - Outstanding Notices S.735A & 121ZP,NSWBURWO0007,NSW,LGA,true,Order the Outstanding Notices S.735A & 121ZP from Burwood City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,68.00,,no_gst,0.00,Manual,active,,
Burwood City Council - Section 88G,NSWBURWO0008,NSW,LGA,true,"Order the Section 88G from Burwood City Council. This product supplies the certificate, search, diagram, plan, report or property information stated in the product name.",Burwood,Burwood City Council,cdf2c0f7-2609-44ab-b23a-878f79ae5eb6,44.50,,no_gst,0.00,Manual,active,,
Byron City Council - Planning Certificate S.10.7(2),NSWBYRON0001,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Byron City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,71.00,,no_gst,0.00,Manual,active,,
Byron City Council - Planning Certificate S.10.7(2) URGENT,NSWBYRON0002,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) URGENT from Byron City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints. This is the urgent service option.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,165.00,,no_gst,0.00,Manual,active,,
Byron City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWBYRON0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Byron City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,178.00,,no_gst,0.00,Manual,active,,
Byron City Council - Planning Certificate S.10.7(2) & S.10.7(5) URGENT,NSWBYRON0004,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) URGENT from Byron City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product. This is the urgent service option.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,274.00,,no_gst,0.00,Manual,active,,
Byron City Council - Rates Certificate S.603,NSWBYRON0005,NSW,LGA,true,"Order the Rates Certificate S.603 from Byron City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,100.00,,no_gst,0.00,Manual,active,,
Byron City Council - Rates Certificate S.603 URGENT,NSWBYRON0006,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Byron City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,190.00,,no_gst,0.00,Manual,active,,
Byron City Council - Outstanding Notices S.735A & 121ZP,NSWBYRON0007,NSW,LGA,true,Order the Outstanding Notices S.735A & 121ZP from Byron City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,183.00,,no_gst,0.00,Manual,active,,
Byron City Council - Outstanding Notices S.735A & 121ZP URGENT,NSWBYRON0008,NSW,LGA,true,Order the Outstanding Notices S.735A & 121ZP URGENT from Byron City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name. This is the urgent service option.,Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,418.00,,no_gst,0.00,Manual,active,,
Byron City Council - Sewer Location Plan (includes drainage),NSWBYRON0009,NSW,LGA,true,"Order the Sewer Location Plan (includes drainage) from Byron City Council. This product supplies the certificate, search, diagram, plan, report or property information stated in the product name.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,70.00,,no_gst,0.00,Manual,active,,
Byron City Council - Special Water Meter Reading,NSWBYRON0010,NSW,LGA,true,"Order the Special Water Meter Reading from Byron City Council. This service requests the stated water-meter reading for the property, commonly used for settlement or account purposes.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,120.00,,no_gst,0.00,Manual,active,,
Byron City Council - Sewer Location Plan (includes drainage) Urgent,NSWBYRON0011,NSW,LGA,true,"Order the Sewer Location Plan (includes drainage) Urgent from Byron City Council. This product supplies the certificate, search, diagram, plan, report or property information stated in the product name. This is the urgent service option.",Byron,Byron City Council,c950de35-b8e1-4bd3-8b44-778728793ff5,82.00,,no_gst,0.00,Manual,active,,
Cabonne City Council - Outstanding Notices S.735A & 121ZP,NSWCABON0002,NSW,LGA,true,Order the Outstanding Notices S.735A & 121ZP from Cabonne City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Cabonne,Cabonne City Council,f5536352-3e0f-4d11-9e20-8f1fd3f2763d,171.00,,no_gst,0.00,Manual,active,,
Cabonne City Council - Drainage Diagram,NSWCABON0003,NSW,LGA,true,"Order the Drainage Diagram from Cabonne City Council. This product supplies the stated drainage, sewer or water diagram or plan held for the property, including internal services or authority assets as applicable.",Cabonne,Cabonne City Council,f5536352-3e0f-4d11-9e20-8f1fd3f2763d,54.00,,no_gst,0.00,Manual,active,,
Cabonne City Council - Planning Certificate S.10.7(2),NSWCABON0005,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Cabonne City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Cabonne,Cabonne City Council,f5536352-3e0f-4d11-9e20-8f1fd3f2763d,71.00,,no_gst,0.00,Manual,active,,
Cabonne City Council - Rates Certificate S.603,NSWCABON0009,NSW,LGA,true,"Order the Rates Certificate S.603 from Cabonne City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Cabonne,Cabonne City Council,f5536352-3e0f-4d11-9e20-8f1fd3f2763d,100.00,,no_gst,0.00,Manual,active,,
Camden City Council - Planning Certificate S.10.7(2),NSWCAMDE0001,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Camden City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Camden,Camden City Council,c7c3daf9-7e44-4407-ad33-6d3fa6df5acb,71.00,,no_gst,0.00,Manual,active,,
Camden City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWCAMDE0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Camden City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Camden,Camden City Council,c7c3daf9-7e44-4407-ad33-6d3fa6df5acb,178.00,,no_gst,0.00,Manual,active,,
Camden City Council - Rates Certificate S.603,NSWCAMDE0005,NSW,LGA,true,"Order the Rates Certificate S.603 from Camden City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Camden,Camden City Council,c7c3daf9-7e44-4407-ad33-6d3fa6df5acb,100.00,,no_gst,0.00,Manual,active,,
Camden City Council - Rates Certificate S.603 URGENT,NSWCAMDE0006,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Camden City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Camden,Camden City Council,c7c3daf9-7e44-4407-ad33-6d3fa6df5acb,169.00,,no_gst,0.00,Manual,active,,
